exp,primeruso,clip_ultimo,valid_pr_auc,valid_roc_auc,valid_brier,train_pr_auc,train_roc_auc
mantener__clip_ultimo,mantener,True,0.7565465557559835,0.8706122943891271,0.11714103470246065,0.7455627493142484,0.8840772566064999
clip_a_vinc__clip_ultimo,clip_a_vinc,True,0.7559222826669143,0.8700658781763201,0.11739723097904148,0.7473408549979492,0.8837771599203827
poner_na__clip_ultimo,poner_na,True,0.7553924245713564,0.8707294055547081,0.11709720120109969,0.7446467030149445,0.8835137664436282
