p_no_perdida,p_perdida
0.5515320334261837,0.4484679665738163
0.7947882736156352,0.20521172638436483
0.9926289926289926,0.007371007371007371
0.8680555555555556,0.13194444444444445
0.975130890052356,0.024869109947643978
0.888631090487239,0.11136890951276102
0.9646017699115044,0.035398230088495575
0.9564124056999161,0.04358759430008382
0.975130890052356,0.024869109947643978
0.9927536231884058,0.007246376811594203
0.3534883720930233,0.6465116279069767
0.9842738205365402,0.01572617946345976
0.5515320334261837,0.4484679665738163
0.9564124056999161,0.04358759430008382
0.6949152542372881,0.3050847457627119
0.5478260869565217,0.45217391304347826
0.5515320334261837,0.4484679665738163
0.9379968203497615,0.06200317965023847
0.5217391304347826,0.4782608695652174
0.9842738205365402,0.01572617946345976
0.7947882736156352,0.20521172638436483
0.888631090487239,0.11136890951276102
0.9926289926289926,0.007371007371007371
0.3656716417910447,0.6343283582089553
0.9926289926289926,0.007371007371007371
0.5722713864306785,0.4277286135693215
0.6243093922651934,0.3756906077348066
0.8441379310344828,0.15586206896551727
0.9646017699115044,0.035398230088495575
0.802610114192496,0.19738988580750405
0.9947916666666666,0.005208333333333333
0.8329519450800915,0.16704805491990846
0.9636163175303197,0.036383682469680274
0.9947916666666666,0.005208333333333333
0.7745762711864407,0.22542372881355932
0.888631090487239,0.11136890951276102
0.5515320334261837,0.4484679665738163
0.9455958549222798,0.054404145077720206
0.7353279631760644,0.2646720368239356
0.9306706857573475,0.0693293142426526
0.9306706857573475,0.0693293142426526
0.3534883720930233,0.6465116279069767
0.4923857868020305,0.5076142131979695
0.9032258064516129,0.0967741935483871
0.9926289926289926,0.007371007371007371
0.888631090487239,0.11136890951276102
0.9926289926289926,0.007371007371007371
0.8441379310344828,0.15586206896551727
0.9198813056379822,0.08011869436201781
0.9926289926289926,0.007371007371007371
0.9947916666666666,0.005208333333333333
0.888631090487239,0.11136890951276102
0.9947916666666666,0.005208333333333333
0.9564124056999161,0.04358759430008382
0.9455958549222798,0.054404145077720206
0.9926289926289926,0.007371007371007371
0.6243093922651934,0.3756906077348066
0.3534883720930233,0.6465116279069767
0.7745762711864407,0.22542372881355932
0.9306706857573475,0.0693293142426526
1.0,0.0
0.9636163175303197,0.036383682469680274
0.7505422993492408,0.24945770065075923
0.9306706857573475,0.0693293142426526
0.7745762711864407,0.22542372881355932
0.9564124056999161,0.04358759430008382
0.9947916666666666,0.005208333333333333
0.9927536231884058,0.007246376811594203
0.5515320334261837,0.4484679665738163
0.888631090487239,0.11136890951276102
0.9947916666666666,0.005208333333333333
0.9842738205365402,0.01572617946345976
0.5515320334261837,0.4484679665738163
0.9926289926289926,0.007371007371007371
0.23745819397993306,0.7625418060200669
0.975130890052356,0.024869109947643978
0.8329519450800915,0.16704805491990846
0.862295081967213,0.1377049180327869
0.5515320334261837,0.4484679665738163
0.802610114192496,0.19738988580750405
0.5515320334261837,0.4484679665738163
0.9842738205365402,0.01572617946345976
0.9926289926289926,0.007371007371007371
0.975130890052356,0.024869109947643978
0.959731543624161,0.04026845637583893
0.9926289926289926,0.007371007371007371
0.888631090487239,0.11136890951276102
0.5515320334261837,0.4484679665738163
0.9947916666666666,0.005208333333333333
0.975130890052356,0.024869109947643978
0.858974358974359,0.14102564102564102
0.9306706857573475,0.0693293142426526
0.888631090487239,0.11136890951276102
0.7111801242236024,0.2888198757763975
0.7505422993492408,0.24945770065075923
0.9368635437881874,0.06313645621181263
0.3534883720930233,0.6465116279069767
0.9198813056379822,0.08011869436201781
0.9564124056999161,0.04358759430008382
0.8441379310344828,0.15586206896551727
0.9927536231884058,0.007246376811594203
0.9947916666666666,0.005208333333333333
0.7353279631760644,0.2646720368239356
0.9926289926289926,0.007371007371007371
0.7353279631760644,0.2646720368239356
0.9926289926289926,0.007371007371007371
0.888631090487239,0.11136890951276102
0.9455958549222798,0.054404145077720206
0.5515320334261837,0.4484679665738163
0.888631090487239,0.11136890951276102
0.9368635437881874,0.06313645621181263
0.9842738205365402,0.01572617946345976
0.9947916666666666,0.005208333333333333
0.9926289926289926,0.007371007371007371
0.975130890052356,0.024869109947643978
0.5515320334261837,0.4484679665738163
0.9947916666666666,0.005208333333333333
